,importance
stint_x_year_synth,2078722.4201988757
tyre_ratio_x_year_synth,835729.2460627673
tyre_x_year_synth,641159.4185793163
stint_rate_x_tyre,610603.3361977079
progress_x_year_synth,415168.2792880408
tyre_to_lap_ratio,353080.0892384431
Race_enc,230007.66496120655
LapTime (s),223916.7457493089
driver_freq_enc,151887.79305140916
Cumulative_Degradation,146917.53827058134
delta_x_tyre_age,146106.83232321328
LapTime_Delta,132100.35005977316
compound_softness,115808.6837171331
delta_x_progress,107607.11296458935
pos_x_progress,106829.03295667683
lap_delta_clean,106030.20707438998
abs_position_change,102563.33644594178
stint_pit_rate,99088.87563450336
Position,95463.25381905734
deg_per_lap_sq,90838.44504756434
position_x_tyre_life,89881.04709660483
deg_x_softness,86695.57365350956
RaceProgress,82388.53091118504
TyreLife,81900.92368960175
Position_Change,79652.66404960994
tyre_life_ratio,71067.56375437118
tyre_life_x_softness,67573.83737243079
progress_x_tyre_life,65079.03244366295
deg_per_lap,64509.5804173056
Stint,59392.80331088752
tyre_life_sq,54987.47781030387
Year,51875.41117566377
stint_x_tyre_life,48241.606931633505
laps_remaining_proxy,44883.924762532115
Compound_enc,42908.86758889817
LapNumber,38010.81112078354
tyre_ratio_x_year_2023,28125.62111942768
progress_x_year_2023,23373.057812698557
deg_x_year_2023,22968.091812945437
PitStop,22916.525051784516
soft_x_tyre_age,22624.77970101796
high_deg_circuit,20877.120824449044
year_encoded,20199.351275488174
strong_degradation,12844.095173113048
is_2023,11555.391140031814
position_bucket,10293.673952615261
tyre_x_year_2023,9090.919331863523
overdue_for_stop,8723.713120388984
Year_enc,6585.668073695898
already_pitted,6275.785482549667
is_synthetic_year,5506.976455402374
in_optimal_window,4574.643530774117
losing_positions,4430.615476437658
stint_is_final,3158.347368168831
likely_final_stint,2961.3592762470244
in_soft_window,2950.3966128110887
is_wet_compound,2947.1106021881105
gaining_positions,2562.954223912954
laptime_is_slow,2510.4882560014726
in_medium_window,2457.883675572276
stint_x_year_2023,2173.0811060041187
in_hard_window,1800.6390315532685
pit_count_sq,1724.8861053943633
outside_points,856.1166959479451
progress_bucket,522.8125133752823
can_finish_on_tyres,500.67983474731443
is_degrading,405.7468110084534
laptime_is_fast,387.34052324295044
is_podium_fight,337.3377730846405
is_late_race,319.37260446548464
tyre_overlife,101.70485768318176
